9780679763437,0679763430,The Camera My Mother Gave Me,,Susanna Kaysen,Biography & Autobiography,http://books.google.com/books/content?id=Br6A1Zy4OOkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author relates her odyssey through the world of gynecological medicine in an attempt to diagnose a mysterious disorder, and addresses larger questions that arise when sexual pleasure is replaced by pain.",2002.0,3.3,149.0,973.0,"rgb(143, 199, 162)"
9780679763970,067976397X,Corelli's Mandolin,A Novel,Louis De Bernières,Fiction,http://books.google.com/books/content?id=dsJFZOR11yMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation",1995.0,3.97,437.0,61387.0,"rgb(208, 191, 145)"
9780679764014,0679764011,"Resistance, Rebellion, and Death",,Albert Camus,Fiction,http://books.google.com/books/content?id=XVFBSyuWHo0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,The author's personal beliefs and his reactions to the major issues of his lifetime are reflected in these selected writings,1961.0,4.2,288.0,2356.0,"rgb(225, 225, 227)"
9780679764175,0679764178,Letting Go,,Philip Roth,Fiction,http://books.google.com/books/content?id=8D-0IVlkpL4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Newly discharged from the Korean War, Gabe Wallach struggles to live seriously and act generously. The reader will find acclaimed author Philip Roth's fictional study of 1950's American morals and social mores far different from those of today. TIME calls Roth ""The uncontested master of comic irony"".",1997.0,3.69,630.0,1053.0,"rgb(153, 203, 159)"
9780679765844,0679765840,The Simple Truth,Poems,Philip Levine,Poetry,http://books.google.com/books/content?id=FCUGuTA6OJUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Offers thirty-three poems that interweave a complex web of myth, public and private history, family, memory, and invention as they explore the timeless truths of human existence",1994.0,4.22,69.0,630.0,"rgb(106, 87, 56)"
9780679767091,0679767096,Walt Whitman's America,A Cultural Biography,David S. Reynolds,Biography & Autobiography,http://books.google.com/books/content?id=WY2UFkNTR0EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A study of the life and works of one of America's finest poets is set against the social, cultural, and political backdrop of his time, offering new insights into his poetry, ideas, and imagery",1996.0,4.17,672.0,371.0,"rgb(100, 82, 57)"
9780679767305,0679767304,Selected Stories,,Andre Dubus,Fiction,http://books.google.com/books/content?id=zMEerqX1z7wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Twenty-three stories representing fifteen years of the author's career explore the polarities of violence and tenderness, destruction and salvation, and hedonism and asceticism",1996.0,4.27,476.0,2709.0,"rgb(36, 36, 37)"
9780679767398,0679767398,"South of the Border, West of the Sun",,Haruki Murakami,Fiction,http://books.google.com/books/content?id=Y9zjOV4o-vkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Years after their separation, two Japanese childhood sweethearts are reunited, and happily married Hajime finds himself prepared to risk everything for the chance to be with his now mysterious first love Shinamoto. Reprint. 20,000 first printing.",2000.0,3.87,213.0,3650.0,"rgb(163, 73, 137)"
9780679767473,0679767479,The Untouchable,,John Banville,Fiction,http://books.google.com/books/content?id=lOeXpung8tkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A winner of the Lannan Literary Award and a Publishers Weekly Best Book of Year relates the story of a British intelligence agent and art historian to the Queen who is exposed as a Russian agent. Reprint. 20,000 first printing.",1998.0,3.96,367.0,2077.0,"rgb(202, 174, 122)"
9780679767824,0679767827,Psycho Shop,,Alfred Bester & Roger Zelazny,Fiction,http://books.google.com/books/content?id=X9OCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"﻿“A dark acid curio, brisk, fast, memorable, a rare improvisational duet from two of our best.”—Greg Bear “Alfred Bester was one of the handful of writers who invented modern science fiction.” —Harry Harrison, author of Adventures of the Stanless Steel Rat “Let there be light, and let there always be Roger Zelazny.”—Philip José Farmer, author of To Your Scattered Bodies Go From Publishers Weekly: This odd novel, left incomplete when Bester died in 1987, was finished by Zelazny, who himself died in 1995. In his introduction, Bear refers to Bester (The Deceivers) and Zelazny (Donnerjack) as masters of SF jazz, geniuses of improvisation, and the book has that feel to it. The plot is full of bizarre twists and turns. Neat ideas surface and disappear in an eyeblink and characters transform radically from one page to the next. Alf Noir, an investigative reporter, is sent to Rome to look into the mysterious Black Place of the Soul-Changer and its enigmatic proprietor, Adam Maser. Alf discovers that Maser is a Psychbroker, a sort of pawnbroker of the spirit, dealing in emotions, talents and psychological traits. Want more courage, the ability to see into the infrared, an understanding of ancient Persian? Maser will trade it to you for your mind-reading ability, or a rare coin, or perhaps for the secret of the collective unconscious. Alf discovers that Maser isn't human, but a highly evolved cat from the far future. Nothing is what it seems and no one can be trusted, not even Maser's sexy assistant, an evolved snake with whom Alf has an affair. There's much fun to be had here, but the book doesn't represent either writer in top form. Bester's style in the first part of the novel seems dated, and things don't gel until Zelazny takes over halfway through the book. Vintage has brought Bester's finest work back into print, and for this it deserves praise, but this novel is most likely to appeal to Zelazny's much larger readership.",2013.0,3.6,207.0,727.0,"rgb(57, 70, 41)"
9780679772675,0679772677,A civil action,,Jonathan Harr,Law,http://books.google.com/books/content?id=8YWPAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young Boston trial lawyer is drawn into a case involving two industrial chemical plants and a cluster of childhood leukemia victims that is to encompass nine difficult years and bring him to near bankruptcy. Reprint. 100,0000 first printing. Tour.",1996.0,3.96,512.0,13237.0,"rgb(53, 62, 63)"
9780679776215,0679776214,The Grotesque,A Novel,Patrick McGrath,Fiction,http://books.google.com/books/content?id=fVPxDdoEzlYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A paralyzed Sir Hugo Coal chips away at the mystery of the murder of his daughter's fiance+a7, weighing the possible motives of those who share his manor, including his enigmatic butler, Fledge. Reprint. Movie tie-in.",1996.0,3.63,178.0,785.0,"rgb(142, 120, 82)"
9780679776314,0679776311,The Road to Reality,A Complete Guide to the Laws of the Universe,Roger Penrose,Science,http://books.google.com/books/content?id=coahAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents an overview of the physical laws of the universe, with an explanation of the theories of relativity and quantum mechanics, cosmology, the Big Bang, black holes, and string and M theory.",2007.0,4.1,1099.0,5892.0,"rgb(75, 172, 199)"
